Empresa/Anio;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
(1)  Producci�n de Codelco incluyendo su participaci�n del 49% en El Abra y el 20% en Anglo American Sur (Codelco entr� en propiedad de AASur en el mes de agosto de 2012 con el 24,5%;;;;;;;;;;;;;;;;;;;;;;
"de la propiedad; y en el mes de noviembre de 2012 redujo su participaci�n al 20%)./ Codelco's production includes its 49% stake in El Abra and 20% in Anglo American Sur (Codelco entered";;;;;;;;;;;;;;;;;;;;;;
AASur's property in August 2012 with 24.5% of the property, and in November 2012 reduced its stake to 20%).;;;;;;;;;;;;;;;;;;;;;;
(2) Datos de Chuquicamata entre 2007 y 2009 incluyen sulfuros de Radomiro Tomic, que a partir de 2010 se incluyen en Divisi�n Radomiro Tomic. /  Data for 2007-2009 includes;;;;;;;;;;;;;;;;;;;;;;
sulfides produced at Radomiro Tomic. As of 2010, these are reported as produced by the new Radomiro Tomic Division.;;;;;;;;;;;;;;;;;;;;;;
(3) Desde noviembre del a�o 2007 Radomiro Tomic comenz� la producci�n de sulfuros que fueron procesados por Chuquicamata e incluidos como producci�n de eta hasta el;;;;;;;;;;;;;;;;;;;;;;
a�o 2009. Por lo tanto para estos a�os la producci�n de Radomiro Tomic corresponde s�lo a �xidos. A partir del a�o 2010 Radomiro Tomic contabiliza la producci�n de �xidos y;;;;;;;;;;;;;;;;;;;;;;
sulfuros. Cabe considerar que a fines de 2010 la divisi�n Codelco Norte fue separada en Divisi�n Chuquicamata y Radomiro Tomic. / In November 2007 this facility began producing;;;;;;;;;;;;;;;;;;;;;;
sulfides that were processed at Chuquicamata and reported as Chuquicamata production through 2009. In late 2010, Codelco's Northern Division was split into the Chuquicamata and;;;;;;;;;;;;;;;;;;;;;;
Radomiro Tomic Divisions, at which time the latter started reporting its own copper oxide and sulfide production.;;;;;;;;;;;;;;;;;;;;;;
(4)  Considera el cobre contenido en la producci�n de minerales y  concentrados de oro. / Includes copper contained in gold ore and concentrate production.;;;;;;;;;;;;;;;;;;;;;;
(5) En noviembre de 2014 El Tesoro se fusiona con Minera Esperanza. Esta permanece como continuadora y modifica su nombre a Minera Centinela./ In November of 2014, El Tesoro merged with the Esperanza Mine. This remains a continuing act and they have modified their name to be known as the Centinela Mine.;;;;;;;;;;;;;;;;;;;;;;
Fuente / Source: Comisi�n Chilena del Cobre / Chilean Copper Commission.;;;;;;;;;;;;;;;;;;;;;;
